Region,City,City / neighborhood,The reference number of the deal,The date of the deal AD,Hijri date of the deal,Real estate classification,Real estate,The number of real estate,the price,Space
Riyadh region,Riyadh,Riyadh/Jasmine,19795096,2023/04/16,09/25/1444,residential,piece of ground,1,"14,525,000","1,037.50"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20107329,2023/06/05,16/11/1444,residential,piece of ground,1,"14,400,000","1,000.80"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19761978,2023/04/11,09/1444/1444,residential,piece of ground,1,"14,398,420","2,520.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20145813,2023/06/11,11/22/1444,residential,piece of ground,1,"14,175,000","1,050.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20145631,2023/06/11,11/22/1444,residential,piece of ground,1,"14,175,000","1,050.00"
Riyadh region,Riyadh,Riyadh/Spring,20174145,2023/06/12,23/11/1444,residential,piece of ground,1,"14,160,000","3,540.00"
Riyadh region,Riyadh,Riyadh/Spring,20174320,2023/06/12,23/11/1444,residential,piece of ground,1,"14,160,000","3,540.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20143793,2023/06/11,11/22/1444,residential,piece of ground,1,"14,006,250","1,037.50"
Riyadh region,Riyadh,Riyadh/Jasmine,20145527,2023/06/11,11/22/1444,residential,piece of ground,1,"14,006,250","1,037.50"
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,19922047,2023/05/14,24/10/1444,residential,piece of ground,5,"14,000,000","7,000.00"
Riyadh region,Riyadh,Riyadh/Rabwah,20204638,2023/06/18,29/11/1444,residential,piece of ground,1,"13,977,700","2,795.54"
Riyadh region,Riyadh,Riyadh/Al -Nuzha,20048682,2023/05/29,09/11/1444,residential,piece of ground,1,"13,900,000","2,500.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19830460,2023/05/01,10/10/1444,residential,piece of ground,1,"13,695,450","1,826.06"
Riyadh region,Riyadh,Riyadh/Al -Aqiq,20018371,2023/05/25,05/11/1444,residential,piece of ground,1,"13,552,425",934.65
Riyadh region,Riyadh,Riyadh/Al -Mulka,20272968,2023/06/22,04/12/1444,residential,piece of ground,1,"13,500,000",810.00
Riyadh region,Riyadh,Riyadh/Janadriyah,19700790,2023/04/03,1244/12/1444,residential,piece of ground,18,"13,171,668","9,685.05"
Riyadh region,Riyadh,Riyadh/Palm,20173013,2023/06/12,23/11/1444,residential,piece of ground,1,"13,000,000","1,600.00"
Riyadh region,Riyadh,Riyadh/ race,20173847,2023/06/12,23/11/1444,residential,piece of ground,2,"12,960,000","2,400.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19817770,2023/04/27,10/1044/1444,residential,piece of ground,1,"12,500,000",805.18
Riyadh region,Riyadh,Riyadh/Hittin,19764154,2023/04/11,09/1444/1444,residential,piece of ground,1,"12,403,688","2,102.32"
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19799632,2023/04/16,09/25/1444,residential,piece of ground,1,"12,375,000",825.00
Riyadh region,Riyadh,Riyadh/Narcissus,19874750,2023/05/08,10/18/1444,residential,piece of ground,1,"12,153,860","1,960.30"
Riyadh region,Riyadh,Riyadh/Jasmine,20145096,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Jasmine,20145686,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Jasmine,20145541,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Jasmine,20145388,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Jasmine,20145262,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Jasmine,20145245,2023/06/11,11/22/1444,residential,piece of ground,1,"12,150,000",900.00
Riyadh region,Riyadh,Riyadh/Narcissus,19874996,2023/05/08,10/18/1444,residential,piece of ground,1,"12,148,466","1,959.43"
Riyadh region,Riyadh,Riyadh/Umm Al -Hammam,19985374,2023/05/21,01/11/1444,residential,piece of ground,6,"12,100,000","3,888.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20145491,2023/06/11,11/22/1444,residential,piece of ground,1,"12,067,583",893.90
Riyadh region,Riyadh,Riyadh/Malaz,20273802,2023/06/22,04/12/1444,residential,piece of ground,1,"12,000,000","1,500.00"
Riyadh region,Riyadh,Riyadh/Malaz,19950057,2023/05/17,10/27/1444,residential,piece of ground,1,"12,000,000","1,204.50"
Riyadh region,Riyadh,Riyadh/Jasmine,20144820,2023/06/11,11/22/1444,residential,piece of ground,1,"11,717,433",867.96
Riyadh region,Riyadh,Riyadh/Jasmine,20145446,2023/06/11,11/22/1444,residential,piece of ground,1,"11,646,815",862.73
Riyadh region,Riyadh,Riyadh/Spring,19993701,2023/05/22,02/11/1444,residential,piece of ground,1,"11,599,874","10,404.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20144952,2023/06/11,11/22/1444,residential,piece of ground,1,"11,386,791",843.47
Riyadh region,Riyadh,Riyadh/Palm,19962655,2023/05/18,10/28/1444,residential,piece of ground,1,"11,113,600","1,390.90"
Riyadh region,Riyadh,Riyadh/Jasmine,20145017,2023/06/11,11/22/1444,residential,piece of ground,1,"11,056,082",818.97
Riyadh region,Riyadh,Riyadh/Jasmine,20145154,2023/06/11,11/22/1444,residential,piece of ground,1,"10,725,143",794.46
Riyadh region,Riyadh,Riyadh/Al -Mulka,20286886,2023/06/26,12/12/1444,residential,piece of ground,1,"10,560,000","1,200.00"
Riyadh region,Riyadh,Riyadh/milk,19812825,2023/04/26,10/10/1444,residential,piece of ground,1,"10,525,000","5,625.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20145329,2023/06/11,11/22/1444,residential,piece of ground,1,"10,394,717",769.98
Riyadh region,Riyadh,Riyadh/Tuwaiq,20173886,2023/06/12,23/11/1444,residential,piece of ground,5,"10,350,000","4,500.00"
Riyadh region,Riyadh,Riyadh/Janadriyah,19700841,2023/04/03,1244/12/1444,residential,piece of ground,14,"10,044,878","7,385.94"
Riyadh region,Riyadh,Riyadh/Janadriyah,19700898,2023/04/03,1244/12/1444,residential,piece of ground,14,"10,011,259","7,361.22"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20174599,2023/06/12,23/11/1444,residential,piece of ground,1,"9,900,000",799.77
Riyadh region,Riyadh,Riyadh/roses,19961753,2023/05/22,02/11/1444,residential,piece of ground,1,"9,818,084","2,523.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20264638,2023/06/21,12/12/1444,residential,piece of ground,1,"9,800,000","1,400.00"
Riyadh region,Riyadh,Riyadh/Palm,19782344,2023/04/13,09/22/1444,residential,piece of ground,1,"9,700,000",600.00
Riyadh region,Riyadh,Riyadh/Al -Raed,19794764,2023/04/15,09/24/1444,residential,piece of ground,1,"9,675,000","1,500.00"
Riyadh region,Riyadh,Riyadh/Andalusia,20020606,2023/05/25,05/11/1444,residential,piece of ground,4,"9,500,000","3,120.00"
Riyadh region,Riyadh,Riyadh/Al -Faisaliah,20252276,2023/06/21,12/12/1444,residential,piece of ground,8,"9,243,024","8,009.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20204553,2023/06/18,29/11/1444,residential,piece of ground,1,"9,200,000",600.19
Riyadh region,Riyadh,Riyadh/Spring,19979708,2023/05/22,02/11/1444,residential,piece of ground,1,"9,199,913","8,251.46"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20204323,2023/06/18,29/11/1444,residential,piece of ground,1,"9,120,000",630.00
Riyadh region,Riyadh,Riyadh/Rabwah,19806251,2023/04/18,09/27/1444,residential,piece of ground,1,"9,100,000","2,452.22"
Riyadh region,Riyadh,Riyadh/Malaz,20265474,2023/06/22,04/12/1444,residential,piece of ground,1,"9,000,000","1,800.00"
Riyadh region,Riyadh,Riyadh/ Seville,20165258,2023/06/11,11/22/1444,residential,piece of ground,3,"9,000,000","2,583.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20109614,2023/06/05,16/11/1444,residential,piece of ground,1,"9,000,000",700.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19908563,2023/05/11,10/21444,residential,piece of ground,1,"9,000,000",560.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,20270562,2023/06/22,04/12/1444,residential,piece of ground,1,"8,950,000",600.19
Riyadh region,Riyadh,Riyadh/Janadriyah,19700958,2023/04/03,1244/12/1444,residential,piece of ground,12,"8,948,630","6,580.61"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19933944,2023/05/15,10/10/1444,residential,piece of ground,1,"8,900,000",700.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,20115483,2023/06/05,16/11/1444,residential,piece of ground,1,"8,800,000",720.36
Riyadh region,Riyadh,Riyadh/Jasmine,19838979,2023/05/02,10/12/1444,residential,piece of ground,1,"8,600,000",952.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,20228064,2023/06/20,12/12/1444,residential,piece of ground,1,"8,500,000",600.30
Riyadh region,Riyadh,Riyadh/square,20129506,2023/06/07,11/18/1444,residential,piece of ground,3,"8,500,000","2,264.53"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20264637,2023/06/21,12/12/1444,residential,piece of ground,1,"8,400,000","1,200.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20264579,2023/06/21,12/12/1444,residential,piece of ground,1,"8,400,000","1,200.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20264562,2023/06/21,12/12/1444,residential,piece of ground,1,"8,400,000","1,200.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20264555,2023/06/21,12/12/1444,residential,piece of ground,1,"8,400,000","1,200.00"
Riyadh region,Riyadh,Riyadh/Press,19720021,04/04/04/06,09/15/1444,residential,piece of ground,1,"8,356,500",900.00
Riyadh region,Riyadh,Riyadh/Narcissus,20076841,2023/06/01,11/12/1444,residential,piece of ground,1,"8,293,000",800.00
Riyadh region,Riyadh,Riyadh/Al -Ghadeer,20038334,2023/05/28,08/11/1444,residential,piece of ground,2,"8,200,000",990.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19945082,2023/05/16,10/26/1444,residential,piece of ground,1,"8,200,000",600.75
Riyadh region,Riyadh,Riyadh/Hittin,20005700,2023/05/23,03/11/1444,residential,piece of ground,4,"8,000,000","2,000.00"
Riyadh region,Riyadh,Riyadh/Al Rayyan,19803193,2023/04/17,26/09/1444,residential,piece of ground,4,"8,000,000","1,960.00"
Riyadh region,Riyadh,Riyadh/Hittin,19764345,2023/04/11,09/1444/1444,residential,piece of ground,1,"7,965,000","1,350.00"
Riyadh region,Riyadh,Riyadh/Hittin,19764266,2023/04/11,09/1444/1444,residential,piece of ground,1,"7,965,000","1,350.00"
Riyadh region,Riyadh,Riyadh/Press,20207796,2023/06/19,01/12/1444,residential,piece of ground,2,"7,897,500","1,350.00"
Riyadh region,Riyadh,Riyadh/Azizia,20065698,2023/05/31,11/11/1444,residential,piece of ground,1,"7,827,142","10,000.00"
Riyadh region,Riyadh,Riyadh/prosperity,20105091,2023/06/05,16/11/1444,residential,piece of ground,2,"7,755,000","1,650.00"
Riyadh region,Riyadh,Riyadh/dew,20181272,2023/06/13,24/11/1444,residential,piece of ground,1,"7,746,900","2,499.00"
Riyadh region,Riyadh,Riyadh/dew,20181515,2023/06/13,24/11/1444,residential,piece of ground,1,"7,746,900","2,499.00"
Riyadh region,Riyadh,Riyadh/Hittin,20156693,2023/06/10,11/21/1444,residential,piece of ground,1,"7,700,000",600.00
Riyadh region,Riyadh,Riyadh/Palm,20122511,2023/06/06,17/11/1444,residential,piece of ground,1,"7,700,000",406.25
Riyadh region,Riyadh,Riyadh/Al -Mulka,20099461,2023/06/04,15/15/1444,residential,piece of ground,1,"7,700,000",600.30
Riyadh region,Riyadh,Riyadh/Muhammadiyah,19818193,2023/04/27,10/1044/1444,residential,piece of ground,1,"7,699,800",939.00
Riyadh region,Riyadh,Riyadh/dew,20274008,2023/06/22,04/12/1444,residential,piece of ground,1,"7,629,000","2,543.00"
Riyadh region,Riyadh,Riyadh/dew,20154776,2023/06/09,11/20/1444,residential,piece of ground,1,"7,628,550","2,543.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19850491,04/05/2023,1444/10/1444,residential,piece of ground,1,"7,600,000",699.28
Riyadh region,Riyadh,Riyadh/Muhammadiyah,19900508,2023/05/10,10/20/1444,residential,piece of ground,1,"7,582,000","1,440.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20140622,2023/06/08,19/11/1444,residential,piece of ground,1,"7,500,000",599.40
Riyadh region,Riyadh,Riyadh/Al -Mulka,20010828,2023/05/24,04/11/1444,residential,piece of ground,1,"7,500,000",540.00
Riyadh region,Riyadh,Riyadh/Hittin,19891393,2023/05/09,10/19/1444,residential,piece of ground,1,"7,500,000",501.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19818342,2023/04/27,10/1044/1444,residential,piece of ground,1,"7,500,000","1,050.00"
Riyadh region,Riyadh,Riyadh/Al -Nuzha,20106737,2023/06/05,16/11/1444,residential,piece of ground,2,"7,493,750","1,362.50"
Riyadh region,Riyadh,Riyadh/Hittin,20180641,2023/06/13,24/11/1444,residential,piece of ground,1,"7,427,250",742.73
Riyadh region,Riyadh,Riyadh/Hittin,19764248,2023/04/11,09/1444/1444,residential,piece of ground,1,"7,402,612","1,254.68"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20174439,2023/06/12,23/11/1444,residential,piece of ground,1,"7,350,000",502.80
Riyadh region,Riyadh,Riyadh/Al -Mulka,19708267,04/04/04/04,13/09/1444,residential,piece of ground,1,"7,344,000","1,020.00"
Riyadh region,Riyadh,Riyadh/Goodness,20247115,2023/06/20,12/12/1444,residential,piece of ground,1,"7,304,850","4,869.90"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19773182,2023/04/12,09/21/1444,residential,piece of ground,1,"7,300,000",536.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19910793,2023/05/11,10/21444,residential,piece of ground,1,"7,250,000",502.80
Riyadh region,Riyadh,Riyadh/Al -Mulka,19910710,2023/05/11,10/21444,residential,piece of ground,1,"7,250,000",502.80
Riyadh region,Riyadh,Riyadh/Sulaymaniyah,19967840,2023/05/18,10/28/1444,residential,piece of ground,1,"7,200,000",750.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20174440,2023/06/12,23/11/1444,residential,piece of ground,2,"7,110,000","1,800.00"
Riyadh region,Riyadh,Riyadh/ race,20197099,2023/06/17,28/11/1444,residential,piece of ground,1,"7,105,000","1,225.00"
Riyadh region,Riyadh,Riyadh/milk,20082081,2023/06/01,11/12/1444,residential,piece of ground,1,"7,100,000","5,250.00"
Riyadh region,Riyadh,Riyadh/Al -Hamra,19849870,04/05/2023,1444/10/1444,residential,piece of ground,1,"7,000,000","1,237.50"
Riyadh region,Riyadh,Riyadh/Casablanca,19780217,2023/04/13,09/22/1444,residential,piece of ground,1,"7,000,000","1,365.88"
Riyadh region,Riyadh,Riyadh/Hittin,19747129,2023/04/10,09/1444/1444,residential,piece of ground,1,"7,000,000",816.45
Riyadh region,Riyadh,Riyadh/Al -Mulka,19984963,2023/05/21,01/11/1444,residential,piece of ground,1,"6,860,000",444.00
Riyadh region,Riyadh,Riyadh/Hittin,20208322,2023/06/19,01/12/1444,residential,piece of ground,1,"6,800,000",501.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19983546,2023/05/21,01/11/1444,residential,piece of ground,1,"6,800,000",525.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19879640,2023/05/08,10/18/1444,residential,piece of ground,1,"6,800,000",570.00
Riyadh region,Riyadh,Riyadh/Jasmine,20166392,2023/06/11,11/22/1444,residential,piece of ground,1,"6,660,000","1,110.00"
Riyadh region,Riyadh,Riyadh/Olaya,20263821,2023/06/21,12/12/1444,residential,piece of ground,2,"6,652,000","1,663.00"
Riyadh region,Riyadh,Riyadh/Tunisian,20260530,2023/06/21,12/12/1444,residential,piece of ground,1,"6,593,750","4,000.00"
Riyadh region,Riyadh,Riyadh/Press,20256323,2023/06/21,12/12/1444,residential,piece of ground,1,"6,510,000","1,050.00"
Riyadh region,Riyadh,Riyadh/Al -Manar,20284274,2023/06/25,12/12/1444,residential,piece of ground,3,"6,500,000","1,875.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19972733,2023/05/20,10/30/1444,residential,piece of ground,1,"6,500,000",444.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19969130,2023/05/18,10/28/1444,residential,piece of ground,1,"6,500,000",420.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19931985,2023/05/15,10/10/1444,residential,piece of ground,1,"6,400,000",444.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,20145799,2023/06/08,19/11/1444,residential,piece of ground,1,"6,250,000",444.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19782350,2023/04/13,09/22/1444,residential,piece of ground,1,"6,250,000",444.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,20196039,2023/06/15,26/11/1444,residential,piece of ground,1,"6,200,000",434.00
Riyadh region,Riyadh,Riyadh/dew,19799962,2023/04/16,09/25/1444,residential,piece of ground,1,"6,195,000",885.00
Riyadh region,Riyadh,Riyadh/Al -Mulka,19794848,2023/04/15,09/24/1444,residential,piece of ground,1,"6,100,000",463.67
Riyadh region,Riyadh,Riyadh/Al -Aqiq,20081098,2023/06/01,11/12/1444,residential,piece of ground,1,"6,000,000",600.60
Riyadh region,Riyadh,Riyadh/Al -Aqiq,20007409,2023/05/24,04/11/1444,residential,piece of ground,2,"6,000,000","1,000.00"
Riyadh region,Riyadh,Riyadh/Al -Faisaliah,20005199,2023/05/23,03/11/1444,residential,piece of ground,2,"6,000,000","2,881.62"
Riyadh region,Riyadh,Riyadh/Azizia,19824856,2023/04/30,10/10/1444,residential,piece of ground,1,"6,000,000","2,700.28"
Riyadh region,Riyadh,Riyadh/Narcissus,19815039,2023/04/27,10/1044/1444,residential,piece of ground,1,"5,958,333","1,250.00"
Riyadh region,Riyadh,Riyadh/Hittin,20088878,2023/06/03,14/11/1444,residential,piece of ground,1,"5,900,000",503.70
Riyadh region,Riyadh,Riyadh/prosperity,20105425,2023/06/05,16/11/1444,residential,piece of ground,2,"5,875,000","1,250.00"
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,19899045,2023/05/10,10/20/1444,residential,piece of ground,1,"5,849,021","1,050.00"
Riyadh region,Riyadh,Riyadh/Nammar,19909744,2023/05/11,10/21444,residential,piece of ground,2,"5,849,021","1,050.00"
Riyadh region,Riyadh,Riyadh/Nammar,19909996,2023/05/11,10/21444,residential,piece of ground,2,"5,849,021","1,050.00"
Riyadh region,Riyadh,Riyadh/Nammar,19899088,2023/05/10,10/20/1444,residential,piece of ground,2,"5,849,021","1,050.00"
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,19899041,2023/05/10,10/20/1444,residential,piece of ground,1,"5,848,186","1,049.85"
Riyadh region,Riyadh,Riyadh/dew,20204511,2023/06/18,29/11/1444,residential,piece of ground,2,"5,824,768","1,770.52"
Riyadh region,Riyadh,Riyadh/Narcissus,19712336,2023/04/05,1444/09/14,residential,piece of ground,1,"5,777,000",567.50
Riyadh region,Riyadh,Riyadh/ King Salman,20240812,2023/06/20,12/12/1444,residential,piece of ground,1,"5,711,407",805.00
Riyadh region,Riyadh,Riyadh/Tunisian,19808876,2023/04/25,10/10/1444,residential,piece of ground,2,"5,706,000","1,426.50"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19763745,2023/04/11,09/1444/1444,residential,piece of ground,1,"5,700,000",400.12
